,sex,occupation,education-num,hours-per-week,age,marital-status,income
236,0,NOC-4,10,40,40,Never-married,0
237,1,NOC-1,13,60,40,Married,1
238,1,NOC-1,13,70,40,Married,1
239,1,NOC-3,9,40,20,Never-married,0
240,1,NOC-1,13,40,40,Married,1
241,0,NOC-5,9,20,40,Married,0
242,1,NOC-2,12,60,20,Married,0
243,1,NOC-7,10,20,20,Never-married,0
244,1,NOC-3,10,40,40,Seperated,0
245,1,NOC-4,9,30,50,Married,0
246,1,NOC-4,9,45,50,Married,1
247,0,NOC-5,9,30,30,Never-married,0
248,1,NOC-2,12,60,40,Married,1
249,1,NOC-4,9,40,40,Married,0
250,0,NOC-1,13,40,40,Married,1
251,0,NOC-4,13,40,40,Married,0
252,0,NOC-5,6,30,50,Seperated,0
253,1,NOC-4,10,40,20,Never-married,0
254,1,NOC-3,10,20,50,Never-married,0
255,1,NOC-4,9,40,40,Married,1
256,0,NOC-5,9,40,20,Never-married,0
257,0,NOC-5,9,30,30,Seperated,0
258,0,NOC-1,11,45,40,Seperated,0
259,1,NOC-3,5,40,50,Seperated,0
260,0,NOC-1,13,40,40,Seperated,0
261,1,NOC-2,9,60,40,Married,0
262,1,NOC-5,7,20,20,Never-married,0
263,1,NOC-2,10,40,50,Married,0
264,1,NOC-3,7,40,30,Married,0
265,1,NOC-1,10,70,40,Married,1
266,1,NOC-7,10,30,20,Never-married,0
267,1,NOC-1,9,40,70,Married,1
268,0,NOC-1,13,45,30,Never-married,0
269,0,NOC-3,9,40,30,Married,1
270,1,NOC-1,9,40,70,Married,1
271,1,NOC-5,5,30,20,Never-married,0
272,1,NOC-4,13,70,50,Married,0
273,1,NOC-1,13,30,30,Never-married,0
274,0,NOC-1,9,40,30,Seperated,0
275,1,NOC-5,9,40,40,Married,0
276,1,NOC-3,10,40,40,Married,1
277,0,NOC-1,10,40,30,Never-married,0
278,0,NOC-2,10,40,20,Never-married,0
279,0,NOC-4,10,60,20,Married,1
280,0,NOC-1,13,20,20,Never-married,0
281,1,NOC-3,10,40,40,Married,1
282,0,NOC-2,12,45,30,Seperated,0
283,0,NOC-1,13,45,50,Seperated,0
284,1,NOC-5,9,40,20,Never-married,0
285,1,NOC-2,13,40,50,Married,1
286,1,NOC-1,13,60,40,Married,1
287,1,NOC-5,10,45,50,Seperated,0
288,0,NOC-1,13,40,20,Never-married,0
289,1,NOC-3,5,40,50,Married,0
290,1,NOC-1,13,45,40,Married,0
291,0,NOC-1,9,40,30,Seperated,0
292,1,NOC-2,13,60,30,Never-married,0
293,1,NOC-2,10,45,20,Never-married,0
294,0,NOC-2,13,40,30,Never-married,0
295,1,NOC-3,9,20,70,Married,0
296,0,NOC-2,13,60,40,Seperated,0
297,0,NOC-7,13,40,40,Married,0
298,1,NOC-3,9,40,20,Never-married,0
299,1,NOC-2,9,70,40,Seperated,0
300,1,NOC-4,13,40,50,Married,1
301,0,NOC-5,10,30,20,Never-married,0
302,1,NOC-3,9,45,30,Married,1
303,1,NOC-2,9,40,50,Married,1
304,0,NOC-4,10,40,20,Married,0
305,0,NOC-4,9,40,40,Seperated,0
306,1,NOC-2,12,45,30,Never-married,0
307,0,NOC-1,12,30,50,Never-married,0
308,1,NOC-4,12,40,30,Married,1
309,1,NOC-4,10,60,40,Married,1
310,1,NOC-2,13,40,30,Never-married,0
311,1,NOC-1,13,30,30,Married,1
312,0,NOC-7,10,30,20,Never-married,0
313,0,NOC-1,13,40,40,Seperated,1
314,1,NOC-2,10,20,20,Never-married,0
315,1,NOC-4,10,40,20,Never-married,0
316,1,NOC-2,10,40,70,Married,0
317,0,NOC-4,5,40,20,Married,0
318,0,NOC-2,10,40,30,Never-married,0
319,0,NOC-5,9,30,70,Seperated,0
320,1,NOC-1,9,40,40,Married,0
321,1,NOC-3,10,60,40,Married,0
322,1,NOC-3,9,45,30,Seperated,0
323,0,NOC-1,7,40,30,Never-married,0
324,1,NOC-3,13,20,70,Married,0
325,1,NOC-4,9,45,70,Married,0
326,0,NOC-7,11,20,20,Never-married,0
327,0,NOC-1,10,60,40,Married,1
328,1,NOC-5,9,40,50,Married,0
329,1,NOC-3,9,60,70,Never-married,0
330,1,NOC-3,10,45,40,Never-married,0
331,1,NOC-4,13,40,30,Never-married,0
332,1,NOC-5,11,40,50,Never-married,0
333,1,NOC-4,6,40,50,Married,0
334,1,NOC-3,9,40,50,Married,0
335,1,NOC-5,5,60,20,Never-married,0
336,1,NOC-3,9,40,30,Never-married,0
337,1,NOC-1,13,60,50,Never-married,0
338,1,NOC-2,9,30,20,Never-married,0
339,1,NOC-5,9,40,40,Married,0
340,1,NOC-2,12,40,30,Never-married,0
341,1,NOC-3,11,40,40,Married,1
342,1,NOC-2,9,40,40,Married,1
343,1,NOC-4,9,20,30,Never-married,0
344,0,NOC-2,10,40,20,Never-married,0
345,1,NOC-2,13,45,40,Never-married,0
346,1,NOC-7,7,20,70,Married,0
347,0,NOC-7,11,40,30,Seperated,0
348,1,NOC-5,12,30,50,Married,0
349,1,NOC-1,13,30,30,Never-married,0
350,1,NOC-1,13,40,30,Married,1
351,1,NOC-5,9,40,30,Married,0
352,1,NOC-1,13,40,30,Married,1
353,1,NOC-3,7,30,50,Married,0
354,1,NOC-7,13,40,50,Married,1
355,1,NOC-4,9,40,40,Married,1
356,1,NOC-5,7,40,70,Seperated,0
357,1,NOC-2,11,40,40,Married,1
358,0,NOC-4,9,30,40,Married,0
359,1,NOC-3,5,40,30,Married,0
360,0,NOC-5,6,30,40,Married,0
361,1,NOC-1,13,40,70,Married,1
362,1,NOC-3,13,45,40,Married,0
363,1,NOC-1,13,45,40,Seperated,1
364,1,NOC-2,9,60,20,Married,0
365,1,NOC-3,9,40,30,Married,0
366,1,NOC-2,10,45,50,Married,0
367,0,NOC-2,12,20,20,Never-married,0
368,0,NOC-1,13,45,50,Seperated,1
369,0,NOC-2,9,40,40,Seperated,0
370,0,NOC-4,10,20,30,Never-married,0
371,1,NOC-5,7,20,20,Never-married,0
372,1,NOC-4,11,40,40,Married,1
373,1,NOC-4,9,40,40,Married,0
374,1,NOC-3,9,40,40,Never-married,0
375,0,NOC-4,10,20,20,Never-married,0
376,0,NOC-3,9,40,30,Married,0
377,1,NOC-2,10,40,20,Never-married,0
378,1,NOC-1,13,30,50,Seperated,0
379,1,NOC-2,9,60,40,Married,0
380,1,NOC-3,9,40,50,Seperated,0
381,0,NOC-3,5,45,50,Seperated,0
382,1,NOC-3,10,40,20,Married,0
383,0,NOC-2,10,40,50,Seperated,0
384,0,NOC-3,10,40,40,Married,0
385,0,NOC-5,9,30,20,Never-married,0
386,1,NOC-4,9,40,30,Seperated,0
387,0,NOC-4,10,20,40,Married,1
388,0,NOC-4,10,20,20,Never-married,0
389,0,NOC-5,9,40,20,Never-married,0
390,0,NOC-5,9,40,30,Married,1
391,1,NOC-3,13,60,30,Never-married,0
392,1,NOC-3,12,40,50,Seperated,0
393,1,NOC-1,13,45,30,Married,1
394,0,NOC-5,9,30,30,Never-married,0
395,1,NOC-2,10,40,40,Married,0
396,0,NOC-5,10,40,40,Seperated,0
397,0,NOC-7,9,30,20,Never-married,0
398,1,NOC-1,13,60,20,Married,1
399,1,NOC-1,13,60,50,Married,1
400,1,NOC-5,10,40,20,Never-married,0
401,0,NOC-5,10,40,30,Never-married,0
402,1,NOC-2,13,40,50,Married,1
403,0,NOC-2,11,70,30,Seperated,0
404,1,NOC-5,5,40,30,Married,0
405,1,NOC-1,13,70,40,Married,1
406,1,NOC-4,9,40,30,Married,0
407,1,NOC-3,9,30,50,Married,0
408,0,NOC-7,10,40,30,Married,1
409,1,NOC-1,10,60,30,Married,0
410,0,NOC-5,10,30,40,Seperated,0
411,0,NOC-5,9,40,20,Never-married,0
412,0,NOC-1,10,40,30,Seperated,0
413,1,NOC-1,13,60,50,Married,1
414,1,NOC-4,10,40,30,Married,0
415,1,NOC-3,8,60,30,Seperated,1
416,1,NOC-4,5,40,50,Married,0
417,0,NOC-5,7,20,30,Never-married,0
418,1,NOC-4,7,40,30,Seperated,0
419,0,NOC-3,9,40,30,Seperated,0
420,1,NOC-2,10,30,20,Married,0
421,1,NOC-5,7,20,20,Never-married,0
422,0,NOC-1,13,40,30,Married,1
423,1,NOC-4,9,40,30,Seperated,0
424,0,NOC-3,6,30,30,Never-married,0
425,1,NOC-3,9,60,20,Married,0
426,1,NOC-1,13,40,40,Never-married,0
427,1,NOC-5,9,70,20,Never-married,0
428,1,NOC-1,9,40,70,Married,1
429,1,NOC-1,13,40,50,Married,0
430,1,NOC-7,9,30,70,Seperated,0
431,1,NOC-7,7,40,20,Never-married,0
432,0,NOC-1,13,40,40,Married,0
433,0,NOC-5,12,30,30,Married,1
434,1,NOC-3,10,40,30,Never-married,0
435,1,NOC-1,13,60,30,Married,1
436,1,NOC-4,9,60,30,Never-married,0
437,0,NOC-2,10,40,30,Never-married,0
438,1,NOC-4,10,40,20,Married,0
439,0,NOC-4,10,40,40,Married,0
440,1,NOC-1,13,40,30,Never-married,0
441,0,NOC-4,9,30,40,Seperated,0
442,1,NOC-4,9,40,20,Never-married,0
443,1,NOC-1,10,40,40,Married,1
444,1,NOC-3,5,40,30,Never-married,0
445,1,NOC-2,10,30,20,Never-married,0
446,0,NOC-1,9,40,40,Seperated,0
447,1,NOC-3,9,40,50,Married,0
448,1,NOC-4,9,40,20,Married,0
449,0,NOC-7,7,20,20,Never-married,0
450,0,NOC-4,9,40,20,Never-married,0
451,1,NOC-3,10,60,40,Married,1
452,1,NOC-3,9,40,50,Married,1
453,1,NOC-1,12,40,40,Married,1
454,0,NOC-2,9,40,40,Married,1
455,1,NOC-4,11,40,40,Married,1
456,0,NOC-1,9,40,30,Married,0
457,1,NOC-3,10,60,40,Married,0
458,1,NOC-3,9,60,20,Married,0
459,1,NOC-7,10,40,30,Married,0
460,1,NOC-4,12,40,40,Never-married,0
461,1,NOC-3,9,40,50,Married,0
462,1,NOC-1,13,60,30,Married,0
463,1,NOC-3,5,40,50,Married,0
464,0,NOC-2,13,20,20,Never-married,0
465,0,NOC-4,9,60,40,Married,0
466,1,NOC-3,9,40,50,Seperated,0
467,1,NOC-3,10,40,40,Married,0
468,1,NOC-1,13,45,50,Married,1
469,0,NOC-2,13,20,30,Married,1
470,1,NOC-1,10,40,50,Never-married,1
471,1,NOC-7,10,40,20,Never-married,0
472,1,NOC-3,9,40,30,Never-married,0
473,1,NOC-3,9,60,30,Never-married,0
474,0,NOC-5,11,30,70,Seperated,0
475,0,NOC-3,13,40,50,Never-married,0
476,1,NOC-5,5,20,20,Never-married,0
477,1,NOC-5,10,30,20,Never-married,0
478,1,NOC-5,6,40,30,Never-married,0
479,0,NOC-5,9,30,20,Never-married,0
480,1,NOC-3,12,45,30,Married,0
481,1,NOC-3,10,20,40,Married,0
482,1,NOC-1,13,20,30,Never-married,0
483,0,NOC-3,9,40,40,Married,0
484,1,NOC-7,8,40,50,Never-married,0
485,0,NOC-4,10,20,20,Married,0
486,1,NOC-7,5,30,70,Married,0
487,1,NOC-3,9,45,50,Married,0
488,0,NOC-1,13,40,40,Seperated,0
489,1,NOC-2,13,60,40,Married,1
490,0,NOC-5,9,30,40,Never-married,0
491,1,NOC-4,9,40,50,Seperated,0
492,0,NOC-1,12,60,30,Never-married,0
493,0,NOC-1,9,30,30,Seperated,0
494,1,NOC-3,13,20,30,Never-married,0
495,0,NOC-4,9,40,40,Seperated,0
496,1,NOC-4,10,40,20,Never-married,0
497,1,NOC-5,5,40,20,Never-married,0
498,0,NOC-1,10,30,30,Never-married,0
499,1,NOC-7,9,20,70,Married,0
500,1,NOC-4,9,40,20,Never-married,0
501,1,NOC-3,9,40,70,Married,0
502,1,NOC-4,10,40,50,Married,0
503,0,NOC-5,10,45,50,Seperated,0
504,0,NOC-2,13,40,20,Never-married,0
505,1,NOC-1,13,40,20,Never-married,0
506,1,NOC-2,10,20,20,Never-married,0
507,1,NOC-1,10,40,40,Married,0
508,0,NOC-4,9,40,50,Seperated,0
509,0,NOC-5,9,40,40,Seperated,0
510,1,NOC-5,11,45,50,Married,0
511,0,NOC-7,5,30,50,Seperated,0
512,1,NOC-3,11,45,30,Never-married,0
513,1,NOC-1,10,60,30,Married,1
514,1,NOC-3,9,45,30,Seperated,0
515,0,NOC-7,11,40,50,Seperated,0
516,0,NOC-4,10,20,20,Never-married,0
517,1,NOC-7,10,30,20,Never-married,0
518,0,NOC-7,10,30,20,Never-married,0
519,1,NOC-1,13,60,30,Married,1
520,1,NOC-1,13,70,40,Married,1
521,1,NOC-1,9,60,50,Married,1
522,1,NOC-5,10,60,20,Seperated,0
523,1,NOC-2,10,45,40,Married,1
524,1,NOC-4,10,60,40,Seperated,1
525,0,NOC-2,10,40,30,Married,0
526,1,NOC-1,13,40,40,Married,1
527,0,NOC-4,10,20,70,Seperated,0
528,1,NOC-3,9,60,40,Married,0
529,1,NOC-1,13,40,40,Married,0
530,0,NOC-4,7,60,40,Seperated,0
531,1,NOC-4,9,40,30,Never-married,0
532,1,NOC-5,9,40,40,Married,0
533,0,NOC-1,12,60,40,Married,1
534,1,NOC-1,13,60,70,Married,1
535,1,NOC-2,8,60,40,Married,0
536,0,NOC-6,5,30,50,Seperated,0
537,1,NOC-3,11,40,30,Seperated,0
538,0,NOC-4,13,45,30,Never-married,0
539,0,NOC-7,9,40,30,Never-married,0
540,1,NOC-3,10,40,40,Married,0
541,1,NOC-1,13,40,30,Never-married,0
542,0,NOC-5,10,40,30,Never-married,0
543,1,NOC-3,9,40,30,Never-married,0
544,1,NOC-2,10,60,30,Married,0
545,0,NOC-5,9,45,30,Never-married,0
546,0,NOC-5,6,20,50,Married,0
547,1,NOC-2,10,40,30,Married,0
548,1,NOC-5,9,40,20,Never-married,0
549,1,NOC-3,10,40,30,Never-married,0
550,1,NOC-1,10,60,50,Seperated,0
551,0,NOC-5,9,40,40,Seperated,0
552,0,NOC-4,7,40,70,Seperated,0
553,0,NOC-4,9,40,30,Married,0
554,0,NOC-3,11,40,30,Seperated,1
555,0,NOC-4,7,40,70,Never-married,0
556,1,NOC-4,9,40,30,Married,0
557,0,NOC-4,9,20,30,Seperated,0
558,0,NOC-2,9,30,30,Married,0
559,1,NOC-5,7,40,30,Married,0
560,1,NOC-3,13,60,30,Never-married,0
561,1,NOC-2,13,30,50,Married,1
562,1,NOC-1,10,60,50,Married,1
563,0,NOC-5,9,40,20,Never-married,0
564,1,NOC-1,13,60,50,Married,1
565,1,NOC-5,9,60,20,Never-married,0
566,1,NOC-1,13,45,40,Married,0
567,0,NOC-5,5,40,40,Seperated,0
568,1,NOC-3,9,30,30,Seperated,0
569,1,NOC-1,13,45,50,Seperated,0
570,1,NOC-3,9,40,20,Never-married,0
571,1,NOC-1,9,40,50,Married,0
572,1,NOC-2,7,20,20,Never-married,0
573,1,NOC-3,11,40,40,Married,1
574,0,NOC-1,13,70,30,Never-married,0
575,1,NOC-1,13,40,30,Married,1
576,1,NOC-7,8,30,20,Never-married,0
577,0,NOC-2,12,30,40,Seperated,0
578,0,NOC-1,13,40,50,Never-married,0
579,1,NOC-3,10,45,30,Married,0
580,1,NOC-7,10,30,70,Married,1
581,1,NOC-2,9,40,50,Married,1
582,1,NOC-3,9,40,50,Married,0
583,1,NOC-4,9,40,30,Married,0
584,1,NOC-2,13,40,30,Never-married,0
585,0,NOC-2,10,30,20,Never-married,0
586,1,NOC-4,10,60,30,Never-married,0
587,1,NOC-5,7,40,20,Never-married,0
588,1,NOC-3,6,60,50,Married,1
589,1,NOC-1,13,70,50,Seperated,0
590,1,NOC-7,9,40,40,Married,0
591,0,NOC-7,9,40,50,Married,0
592,1,NOC-3,5,60,50,Never-married,1
593,1,NOC-1,13,40,30,Married,1
594,0,NOC-4,13,40,20,Never-married,0
595,1,NOC-2,9,40,30,Never-married,0
596,0,NOC-7,10,30,20,Never-married,0
597,1,NOC-1,13,60,40,Married,1
598,1,NOC-2,10,40,20,Never-married,0
599,0,NOC-1,13,45,50,Never-married,0
600,1,NOC-2,13,40,30,Never-married,0
601,1,NOC-4,10,30,20,Never-married,0
602,0,NOC-5,5,40,50,Seperated,0
603,1,NOC-5,5,40,40,Married,0
604,1,NOC-4,12,40,30,Never-married,0
605,0,NOC-4,9,40,50,Never-married,0
606,1,NOC-3,13,40,50,Married,1
607,1,NOC-3,9,40,30,Never-married,0
608,1,NOC-1,9,40,40,Seperated,0
609,0,NOC-5,6,30,20,Never-married,0
610,0,NOC-1,13,60,50,Seperated,0
611,1,NOC-3,9,40,20,Never-married,0
612,1,NOC-5,9,60,20,Married,0
613,1,NOC-1,13,40,30,Never-married,0
614,0,NOC-5,13,20,30,Never-married,0
615,1,NOC-5,9,60,40,Never-married,0
616,1,NOC-3,9,45,30,Married,0
617,1,NOC-1,9,30,50,Married,0
618,1,NOC-2,13,60,50,Married,0
619,1,NOC-1,13,45,50,Married,1
620,0,NOC-2,13,20,20,Never-married,0
621,0,NOC-5,7,20,40,Seperated,0
622,0,NOC-6,5,30,70,Seperated,0
623,1,NOC-3,11,60,30,Married,0
624,1,NOC-5,5,40,50,Married,0
625,1,NOC-4,9,60,30,Never-married,0
626,1,NOC-2,9,45,30,Married,1
627,1,NOC-2,9,70,40,Married,0
628,1,NOC-1,10,40,30,Married,1
629,1,NOC-2,13,30,50,Married,1
630,0,NOC-5,10,40,50,Never-married,0
631,0,NOC-5,6,40,50,Seperated,0
