,race,c-charge-degree,age-cat,priors-count,is-recid
500,1.0,1.0,1,1,0
503,0.0,0.0,2,2,0
504,1.0,0.0,1,1,1
505,1.0,1.0,2,1,1
506,1.0,0.0,1,1,1
507,0.0,0.0,1,1,1
508,1.0,1.0,2,2,1
509,0.0,1.0,1,2,1
511,0.0,1.0,1,0,1
512,1.0,1.0,2,0,1
515,0.0,1.0,1,1,1
516,0.0,0.0,1,2,1
518,0.0,0.0,2,2,0
519,0.0,0.0,1,2,0
520,1.0,0.0,0,0,1
521,1.0,0.0,2,1,0
522,0.0,1.0,2,0,0
523,0.0,1.0,2,2,1
524,0.0,0.0,0,0,0
525,1.0,0.0,1,2,0
526,1.0,0.0,0,0,1
527,1.0,1.0,0,0,1
528,1.0,0.0,1,2,0
529,0.0,1.0,1,1,0
530,0.0,0.0,1,0,1
531,0.0,0.0,1,2,0
532,1.0,0.0,1,1,0
533,1.0,0.0,0,0,0
535,1.0,0.0,1,0,1
537,0.0,0.0,1,0,1
538,0.0,0.0,1,2,0
539,1.0,1.0,0,2,0
540,1.0,0.0,0,2,0
542,1.0,1.0,2,1,1
543,0.0,0.0,1,2,0
545,1.0,0.0,2,1,0
546,0.0,1.0,1,1,1
547,0.0,0.0,1,0,1
548,1.0,0.0,0,1,1
550,0.0,0.0,1,2,1
551,0.0,0.0,2,2,1
552,0.0,0.0,1,1,0
554,0.0,0.0,1,1,0
555,0.0,0.0,0,1,0
556,1.0,1.0,2,1,1
557,0.0,0.0,0,1,0
558,0.0,1.0,2,1,1
559,0.0,0.0,1,0,1
560,1.0,0.0,1,1,1
561,0.0,0.0,1,2,0
562,0.0,1.0,1,0,1
563,0.0,0.0,0,1,1
564,1.0,0.0,1,1,0
565,1.0,0.0,1,2,1
567,0.0,1.0,1,2,0
568,1.0,1.0,1,2,1
569,0.0,0.0,1,2,0
570,1.0,1.0,1,0,1
571,0.0,0.0,1,2,0
573,0.0,1.0,1,0,1
574,1.0,0.0,0,1,1
576,1.0,1.0,2,1,0
577,1.0,0.0,2,2,0
578,1.0,0.0,1,2,0
579,1.0,1.0,2,0,0
580,1.0,1.0,2,0,1
581,0.0,0.0,1,2,0
582,1.0,1.0,0,0,1
583,1.0,1.0,0,1,1
585,0.0,0.0,0,2,0
588,0.0,0.0,0,2,0
589,0.0,0.0,1,2,0
590,0.0,1.0,1,0,0
591,1.0,0.0,0,0,1
592,0.0,1.0,1,0,1
595,1.0,0.0,0,0,1
596,0.0,0.0,0,1,1
597,0.0,1.0,1,1,0
598,0.0,1.0,1,1,0
599,0.0,0.0,2,2,0
600,0.0,0.0,1,0,1
601,0.0,0.0,0,2,0
602,0.0,0.0,1,1,1
604,0.0,1.0,1,1,1
605,1.0,0.0,1,2,0
606,0.0,1.0,1,1,1
607,1.0,1.0,2,0,1
608,1.0,1.0,1,1,1
609,0.0,1.0,1,2,0
610,1.0,0.0,1,0,1
611,0.0,0.0,0,0,0
613,0.0,0.0,1,2,0
614,1.0,1.0,2,0,1
616,1.0,1.0,1,1,0
617,0.0,0.0,1,2,1
618,0.0,1.0,1,2,1
619,0.0,1.0,2,2,0
620,1.0,0.0,0,1,1
621,0.0,1.0,0,0,1
622,1.0,0.0,0,1,0
623,0.0,1.0,1,1,1
624,0.0,1.0,1,0,1
625,0.0,0.0,2,2,0
626,0.0,0.0,0,2,0
628,0.0,0.0,0,2,0
629,1.0,0.0,1,1,0
630,1.0,1.0,1,2,1
631,1.0,0.0,1,1,1
632,1.0,0.0,0,1,0
633,0.0,0.0,1,0,1
634,0.0,0.0,1,2,0
635,1.0,0.0,1,0,0
637,0.0,0.0,2,2,0
638,1.0,1.0,2,0,0
639,0.0,0.0,0,0,1
640,0.0,0.0,0,0,1
641,0.0,0.0,1,0,1
642,1.0,0.0,0,1,0
643,1.0,0.0,0,1,0
644,1.0,0.0,1,1,0
645,0.0,0.0,1,2,0
646,0.0,0.0,1,2,1
647,1.0,0.0,2,1,1
648,0.0,0.0,0,2,1
649,1.0,0.0,1,1,0
650,0.0,0.0,1,0,0
651,0.0,0.0,0,1,0
652,0.0,0.0,1,2,0
653,0.0,0.0,1,2,0
654,1.0,0.0,1,1,0
655,0.0,0.0,1,2,0
656,0.0,0.0,2,2,1
657,0.0,0.0,0,1,1
658,0.0,1.0,1,1,0
660,0.0,1.0,2,1,0
661,0.0,1.0,1,0,1
662,0.0,0.0,1,0,1
663,1.0,1.0,2,1,1
665,0.0,0.0,0,0,1
666,0.0,0.0,1,2,1
668,1.0,0.0,1,2,1
669,0.0,1.0,1,1,1
671,0.0,1.0,1,0,1
672,1.0,0.0,2,1,1
673,0.0,1.0,1,0,1
674,0.0,1.0,1,0,0
675,0.0,0.0,2,2,0
676,0.0,0.0,0,1,1
677,1.0,1.0,1,0,1
678,1.0,0.0,1,2,0
680,0.0,1.0,0,1,0
681,0.0,0.0,1,1,1
683,1.0,0.0,2,1,0
684,0.0,0.0,1,2,0
685,0.0,0.0,1,1,1
686,0.0,0.0,1,2,1
687,0.0,1.0,1,2,1
688,0.0,1.0,1,1,1
689,0.0,0.0,1,2,0
690,1.0,0.0,2,1,1
691,0.0,1.0,1,1,0
692,0.0,0.0,0,1,1
693,0.0,0.0,1,2,0
694,1.0,0.0,2,1,0
695,0.0,0.0,2,2,0
696,0.0,1.0,1,1,1
697,0.0,1.0,0,1,1
698,0.0,0.0,1,1,1
699,0.0,0.0,2,0,1
700,0.0,0.0,1,2,1
701,0.0,1.0,1,2,0
702,0.0,0.0,1,2,0
703,1.0,0.0,1,1,1
704,1.0,0.0,2,2,0
705,1.0,0.0,2,1,1
706,0.0,0.0,1,2,1
707,0.0,0.0,1,0,1
709,1.0,0.0,2,1,1
710,0.0,0.0,0,0,0
711,0.0,0.0,1,2,0
712,0.0,1.0,1,1,1
713,0.0,0.0,2,2,0
714,0.0,1.0,2,0,1
715,0.0,0.0,0,1,1
716,1.0,0.0,1,1,0
717,1.0,0.0,2,0,1
718,1.0,1.0,1,0,0
720,1.0,1.0,0,0,1
721,1.0,0.0,1,0,0
722,1.0,1.0,2,0,1
723,1.0,1.0,1,1,1
724,1.0,0.0,0,1,1
726,0.0,0.0,0,0,1
727,1.0,0.0,1,2,0
728,1.0,0.0,1,1,1
729,1.0,0.0,0,1,0
730,0.0,0.0,2,0,0
731,0.0,0.0,1,2,0
732,0.0,0.0,2,1,1
733,1.0,0.0,2,1,1
734,0.0,0.0,0,2,0
735,0.0,0.0,0,0,1
736,0.0,0.0,1,0,1
737,0.0,0.0,0,0,1
738,0.0,0.0,2,2,1
739,0.0,0.0,1,2,0
740,0.0,0.0,0,0,1
741,1.0,1.0,0,0,1
743,1.0,0.0,1,2,0
744,0.0,0.0,0,0,0
745,1.0,0.0,2,0,1
746,1.0,0.0,0,1,1
747,0.0,1.0,1,2,0
748,0.0,1.0,1,1,1
749,0.0,0.0,2,2,1
750,0.0,1.0,1,2,1
751,0.0,0.0,1,0,1
752,0.0,0.0,0,0,0
753,0.0,0.0,1,1,1
754,0.0,0.0,0,1,0
755,0.0,0.0,1,2,0
757,0.0,0.0,2,2,0
760,1.0,0.0,0,1,0
761,0.0,0.0,0,0,1
763,1.0,0.0,2,2,0
764,0.0,0.0,2,0,1
765,0.0,0.0,0,0,0
766,0.0,0.0,1,2,0
767,0.0,0.0,1,2,0
769,0.0,0.0,1,2,0
770,0.0,1.0,1,1,1
771,0.0,1.0,1,1,1
774,0.0,1.0,1,0,1
775,0.0,0.0,1,2,0
776,1.0,1.0,1,0,1
777,1.0,1.0,2,0,1
778,0.0,0.0,1,2,1
779,0.0,0.0,1,2,1
780,1.0,1.0,0,1,0
781,1.0,0.0,0,1,0
782,1.0,0.0,0,0,0
783,0.0,0.0,2,2,1
784,1.0,0.0,2,0,1
786,0.0,0.0,1,1,1
787,1.0,1.0,1,0,1
788,0.0,0.0,0,1,0
789,1.0,1.0,1,1,1
790,0.0,0.0,0,0,0
791,0.0,0.0,1,2,0
793,0.0,1.0,2,0,1
795,1.0,0.0,1,1,0
796,1.0,1.0,2,1,1
797,1.0,0.0,0,0,1
798,0.0,1.0,0,1,0
799,0.0,1.0,1,1,1
801,1.0,0.0,1,1,1
802,0.0,0.0,1,1,0
803,0.0,1.0,1,0,1
804,0.0,0.0,1,0,1
806,0.0,0.0,1,2,0
807,1.0,1.0,0,1,0
808,0.0,0.0,0,1,0
810,1.0,0.0,1,1,1
811,0.0,0.0,1,2,1
812,0.0,0.0,0,0,1
813,1.0,1.0,1,0,1
814,1.0,0.0,1,2,1
815,0.0,1.0,2,2,1
816,0.0,0.0,1,2,0
817,0.0,1.0,1,0,1
818,1.0,1.0,1,1,0
819,0.0,1.0,1,2,0
820,0.0,0.0,1,2,1
821,1.0,1.0,1,1,0
823,1.0,1.0,1,0,1
824,1.0,0.0,2,1,1
825,0.0,1.0,1,1,0
826,0.0,0.0,0,1,1
827,1.0,1.0,1,1,0
828,0.0,0.0,1,2,0
831,0.0,0.0,1,2,1
832,0.0,0.0,1,1,0
833,0.0,0.0,2,2,0
834,0.0,1.0,0,1,0
835,0.0,1.0,2,2,0
836,1.0,0.0,1,2,0
837,0.0,1.0,2,2,0
838,0.0,1.0,1,2,1
839,1.0,1.0,2,2,0
840,0.0,0.0,1,1,0
841,0.0,1.0,1,1,1
842,0.0,1.0,0,0,0
843,0.0,0.0,1,2,0
845,1.0,0.0,2,0,1
846,0.0,1.0,0,1,0
847,1.0,1.0,1,2,0
848,1.0,1.0,1,1,0
849,0.0,0.0,0,1,1
850,0.0,0.0,0,1,0
851,1.0,0.0,0,1,0
852,0.0,1.0,1,2,0
853,1.0,0.0,2,1,1
854,0.0,0.0,0,2,0
855,1.0,0.0,1,0,1
856,1.0,0.0,2,0,1
858,0.0,1.0,0,2,1
859,1.0,1.0,0,0,1
860,0.0,0.0,0,1,0
861,0.0,0.0,1,1,1
862,0.0,1.0,1,2,1
863,0.0,0.0,1,2,0
864,1.0,0.0,0,1,1
865,0.0,0.0,1,0,0
866,0.0,1.0,1,2,0
867,0.0,0.0,0,0,1
868,0.0,0.0,1,2,0
870,0.0,1.0,2,2,0
871,0.0,0.0,1,2,1
872,1.0,0.0,1,0,1
873,0.0,0.0,2,0,1
874,0.0,0.0,0,1,1
875,0.0,1.0,1,1,1
876,1.0,0.0,0,1,0
877,1.0,0.0,1,1,1
878,0.0,0.0,0,2,0
880,0.0,0.0,1,1,1
881,1.0,1.0,1,2,1
882,1.0,0.0,2,1,0
884,0.0,0.0,1,1,1
886,0.0,0.0,2,1,1
887,1.0,1.0,0,1,0
888,0.0,0.0,1,2,1
889,1.0,0.0,1,1,0
890,0.0,0.0,1,1,1
892,0.0,0.0,1,2,0
893,1.0,0.0,1,0,0
894,1.0,0.0,2,1,0
897,0.0,1.0,1,1,0
898,0.0,0.0,1,1,0
899,0.0,1.0,1,2,0
901,1.0,1.0,1,0,1
902,0.0,0.0,1,0,0
903,1.0,1.0,1,2,0
904,1.0,1.0,1,1,1
905,1.0,1.0,2,0,1
906,1.0,0.0,0,0,1
909,0.0,1.0,1,2,0
910,0.0,0.0,0,1,0
911,0.0,0.0,2,1,0
912,0.0,1.0,1,0,1
913,1.0,0.0,2,1,1
914,0.0,1.0,1,2,0
915,1.0,0.0,2,1,0
916,0.0,0.0,2,1,0
917,0.0,0.0,0,1,0
918,0.0,0.0,1,2,0
919,0.0,1.0,2,1,1
920,1.0,0.0,1,1,1
921,0.0,1.0,2,0,1
922,0.0,0.0,0,2,0
923,0.0,1.0,1,2,0
924,0.0,0.0,1,1,1
928,1.0,1.0,1,1,1
930,1.0,0.0,2,2,0
931,0.0,0.0,1,2,0
932,0.0,0.0,0,1,1
933,0.0,0.0,1,2,0
935,1.0,0.0,1,1,1
936,0.0,0.0,0,1,1
937,0.0,1.0,1,1,0
938,0.0,0.0,0,2,0
939,1.0,0.0,1,0,1
940,1.0,0.0,0,0,1
941,0.0,1.0,1,1,0
942,0.0,0.0,2,0,0
943,0.0,0.0,1,2,0
944,1.0,0.0,1,1,1
945,1.0,0.0,1,2,1
946,1.0,1.0,0,0,1
947,1.0,1.0,0,0,0
948,0.0,0.0,2,0,1
949,0.0,0.0,1,2,0
950,1.0,1.0,0,0,1
952,0.0,0.0,0,1,0
954,0.0,1.0,1,2,0
956,0.0,0.0,1,2,0
957,0.0,1.0,2,2,0
958,1.0,1.0,0,1,0
959,1.0,0.0,1,1,1
960,0.0,1.0,1,0,0
961,0.0,0.0,0,0,1
963,0.0,1.0,2,2,0
964,0.0,0.0,1,0,1
965,0.0,1.0,0,2,1
966,0.0,1.0,1,1,1
967,1.0,0.0,1,2,0
968,0.0,1.0,0,1,0
970,0.0,1.0,1,2,0
971,0.0,1.0,1,2,0
972,0.0,0.0,1,1,1
973,0.0,0.0,0,1,0
974,1.0,0.0,1,2,0
975,1.0,0.0,2,1,1
976,0.0,0.0,1,2,0
977,1.0,1.0,1,0,1
978,0.0,0.0,0,0,0
979,1.0,0.0,1,2,0
980,0.0,1.0,0,0,1
982,0.0,1.0,1,0,1
983,0.0,1.0,2,1,1
984,0.0,0.0,1,2,0
985,0.0,1.0,2,2,1
987,0.0,0.0,1,1,0
989,1.0,0.0,0,1,1
990,0.0,1.0,0,1,1
992,0.0,0.0,1,2,1
993,0.0,1.0,1,2,0
997,0.0,0.0,1,1,1
998,0.0,0.0,1,1,1
1000,0.0,0.0,1,1,1
1001,1.0,0.0,1,2,1
1002,0.0,0.0,1,1,1
1003,0.0,0.0,1,0,1
1004,0.0,1.0,1,2,0
1005,0.0,1.0,1,2,0
1006,0.0,0.0,1,1,1
1007,0.0,0.0,1,2,0
1008,0.0,0.0,0,1,0
1009,1.0,0.0,2,1,1
1013,0.0,0.0,1,2,0
1014,0.0,0.0,2,0,1
1015,0.0,1.0,1,1,1
1016,1.0,1.0,0,1,1
1019,0.0,0.0,2,2,1
1020,0.0,0.0,1,2,0
1021,0.0,0.0,2,2,1
1023,0.0,1.0,1,2,0
1024,1.0,0.0,2,0,1
1025,0.0,0.0,1,1,1
1026,0.0,1.0,0,1,1
1027,0.0,1.0,1,1,0
1028,0.0,1.0,1,2,0
1029,0.0,1.0,2,1,1
1030,1.0,0.0,1,1,1
1031,1.0,1.0,2,2,1
1033,1.0,0.0,2,1,1
1034,0.0,1.0,1,1,0
1035,0.0,1.0,1,0,0
1036,1.0,1.0,2,0,1
1037,0.0,1.0,0,0,1
